"subj","vign","condition","cause","knowledge","norm"
"R_2TtsbgTKwKK9wIO",1,"RKB",6,"Knowledge","Rationality"
"R_VUMO4bHPJAdMI01",1,"RKB",4,"Knowledge","Rationality"
"R_8psRIDySszQHWjT",1,"RKB",6,"Knowledge","Rationality"
"R_D0215TIQ3dRBXNL",1,"RKB",3,"Knowledge","Rationality"
"R_6DK6aYAhyK428E1",1,"RKB",6,"Knowledge","Rationality"
"R_8bT93YYUqf1B1Qt",1,"RKB",7,"Knowledge","Rationality"
"R_O2a0beWlpnkeBB7",1,"RKB",7,"Knowledge","Rationality"
"R_XyPc9AuqmfgpmNP",1,"RKB",6,"Knowledge","Rationality"
"R_2ZUFDDiW6GBTnqt",1,"RKB",7,"Knowledge","Rationality"
"R_2uPS3EAvMPxKfXl",1,"RKB",3,"Knowledge","Rationality"
"R_1IvgwTwNrQyaHTf",1,"RKB",5,"Knowledge","Rationality"
"R_1PTyJyKQcEUiuuQ",1,"RKB",7,"Knowledge","Rationality"
"R_1Kp8ZVRR3w3y8ob",1,"RKB",5,"Knowledge","Rationality"
"R_8qVN23Q1GhwxtRv",1,"RKB",5,"Knowledge","Rationality"
"R_1g1jxYRliuLSNIS",1,"RKB",6,"Knowledge","Rationality"
"R_43cgimLZIc5sDdf",1,"RKB",6,"Knowledge","Rationality"
"R_3n00tAc7D3Xq0nG",1,"RKB",3,"Knowledge","Rationality"
"R_2rZ10M50CWZ1eoq",1,"RKB",7,"Knowledge","Rationality"
"R_2P6F8vn4Tutz9m2",1,"RKB",4,"Knowledge","Rationality"
"R_2uKtRMa60xPV9Qd",1,"RKB",7,"Knowledge","Rationality"
"R_3fq0DzWogcDLEsV",1,"RKB",7,"Knowledge","Rationality"
"R_1QuZ05DZ060dABH",1,"RKB",5,"Knowledge","Rationality"
"R_3dJNWXdZg0boBR6",1,"RKB",6,"Knowledge","Rationality"
"R_3HHqwXpaYg7zjtc",1,"RKB",4,"Knowledge","Rationality"
"R_2zC2JtfSTQzEsMI",1,"RKB",6,"Knowledge","Rationality"
"R_wOdSQUqwdK4bScp",1,"RKB",6,"Knowledge","Rationality"
"R_xu9UP0GFBjQzi1P",2,"RKB",6,"Knowledge","Rationality"
"R_1IFTMKYY4Ar9h7X",2,"RKB",7,"Knowledge","Rationality"
"R_1hG9owKKMQroBBf",2,"RKB",6,"Knowledge","Rationality"
"R_1rAhrV5EwBM1LyZ",2,"RKB",6,"Knowledge","Rationality"
"R_D0215TIQ3dRBXNL",2,"RKB",6,"Knowledge","Rationality"
"R_1OxDu1voda2Xi65",2,"RKB",7,"Knowledge","Rationality"
"R_8bT93YYUqf1B1Qt",2,"RKB",7,"Knowledge","Rationality"
"R_3L1Q56xXaXVyMIC",2,"RKB",6,"Knowledge","Rationality"
"R_siIbJwoMNFAmf9D",2,"RKB",7,"Knowledge","Rationality"
"R_1IvgwTwNrQyaHTf",2,"RKB",5,"Knowledge","Rationality"
"R_1PTyJyKQcEUiuuQ",2,"RKB",5,"Knowledge","Rationality"
"R_3j7l9N6xmB4kZGa",2,"RKB",5,"Knowledge","Rationality"
"R_3dGnkoBl0BCW4wr",2,"RKB",6,"Knowledge","Rationality"
"R_1F3wgkNCepYzGxO",2,"RKB",4,"Knowledge","Rationality"
"R_3Ebvsl7XtlhzQWB",2,"RKB",5,"Knowledge","Rationality"
"R_3rSx4gMQuyykxRV",2,"RKB",3,"Knowledge","Rationality"
"R_bmzXOsLePOIJIbf",2,"RKB",4,"Knowledge","Rationality"
"R_2ZPlpIQ6QzShsrr",2,"RKB",5,"Knowledge","Rationality"
"R_2P6F8vn4Tutz9m2",2,"RKB",5,"Knowledge","Rationality"
"R_1rcce6YMkDl2Tqd",2,"RKB",4,"Knowledge","Rationality"
"R_u2m3EaePEvEE75f",2,"RKB",7,"Knowledge","Rationality"
"R_3FLmunkf2Hht6TF",2,"RKB",7,"Knowledge","Rationality"
"R_3HHqwXpaYg7zjtc",2,"RKB",5,"Knowledge","Rationality"
"R_DNasEER9uGsFcfT",2,"RKB",3,"Knowledge","Rationality"
"R_8IWJsKE3wv6zjoZ",2,"RKB",5,"Knowledge","Rationality"
"R_1hG9owKKMQroBBf",3,"RKB",6,"Knowledge","Rationality"
"R_25H4qxjzbWJocXI",3,"RKB",7,"Knowledge","Rationality"
"R_1rAhrV5EwBM1LyZ",3,"RKB",7,"Knowledge","Rationality"
"R_31abv5pcixkRVsa",3,"RKB",6,"Knowledge","Rationality"
"R_1f9izvPYJ9ez5Zl",3,"RKB",6,"Knowledge","Rationality"
"R_3MzjhB4l2CnyceM",3,"RKB",4,"Knowledge","Rationality"
"R_3qlY7YuOtTmlnqw",3,"RKB",4,"Knowledge","Rationality"
"R_bIu9gF3RB8CTtXr",3,"RKB",6,"Knowledge","Rationality"
"R_2S6pPEn187Q5NtY",3,"RKB",6,"Knowledge","Rationality"
"R_3kFVIOx0vSMCknB",3,"RKB",5,"Knowledge","Rationality"
"R_3qpzfYjYEBvysnh",3,"RKB",6,"Knowledge","Rationality"
"R_3j7l9N6xmB4kZGa",3,"RKB",4,"Knowledge","Rationality"
"R_3dGnkoBl0BCW4wr",3,"RKB",5,"Knowledge","Rationality"
"R_UMy2B8bGVjw9O3D",3,"RKB",4,"Knowledge","Rationality"
"R_3rSx4gMQuyykxRV",3,"RKB",6,"Knowledge","Rationality"
"R_43cgimLZIc5sDdf",3,"RKB",7,"Knowledge","Rationality"
"R_dgtQrUW08Tx0Y8N",3,"RKB",4,"Knowledge","Rationality"
"R_3gY1SdxVLpmfmir",3,"RKB",5,"Knowledge","Rationality"
"R_1rOn0eiXQgg0Bto",3,"RKB",5,"Knowledge","Rationality"
"R_3fq0DzWogcDLEsV",3,"RKB",7,"Knowledge","Rationality"
"R_2R568m5pF77Dyh0",3,"RKB",7,"Knowledge","Rationality"
"R_b1rH03pHa9MJNJv",3,"RKB",7,"Knowledge","Rationality"
"R_DNasEER9uGsFcfT",3,"RKB",2,"Knowledge","Rationality"
"R_cIR19O6YM6BpoWd",3,"RKB",7,"Knowledge","Rationality"
"R_8IWJsKE3wv6zjoZ",3,"RKB",4,"Knowledge","Rationality"
"R_1IFTMKYY4Ar9h7X",4,"RKB",6,"Knowledge","Rationality"
"R_1DLUYGKswrdb9cm",4,"RKB",3,"Knowledge","Rationality"
"R_VUMO4bHPJAdMI01",4,"RKB",7,"Knowledge","Rationality"
"R_8psRIDySszQHWjT",4,"RKB",6,"Knowledge","Rationality"
"R_6DK6aYAhyK428E1",4,"RKB",6,"Knowledge","Rationality"
"R_plWR8uAeqvRwogh",4,"RKB",4,"Knowledge","Rationality"
"R_8bT93YYUqf1B1Qt",4,"RKB",7,"Knowledge","Rationality"
"R_3OkT4YxYDtONDSk",4,"RKB",4,"Knowledge","Rationality"
"R_bIu9gF3RB8CTtXr",4,"RKB",3,"Knowledge","Rationality"
"R_siIbJwoMNFAmf9D",4,"RKB",4,"Knowledge","Rationality"
"R_2ZUn4Z9qs9SrQRR",4,"RKB",4,"Knowledge","Rationality"
"R_8uCazDnCWc04MaR",4,"RKB",5,"Knowledge","Rationality"
"R_3oT6ZoaUWgal8UH",4,"RKB",4,"Knowledge","Rationality"
"R_3Ebvsl7XtlhzQWB",4,"RKB",5,"Knowledge","Rationality"
"R_dgtQrUW08Tx0Y8N",4,"RKB",6,"Knowledge","Rationality"
"R_3EMEIC7rpqFY83T",4,"RKB",5,"Knowledge","Rationality"
"R_2ZPlpIQ6QzShsrr",4,"RKB",2,"Knowledge","Rationality"
"R_2uKtRMa60xPV9Qd",4,"RKB",4,"Knowledge","Rationality"
"R_2WTOOT1lnF1XiXn",4,"RKB",7,"Knowledge","Rationality"
"R_2R568m5pF77Dyh0",4,"RKB",4,"Knowledge","Rationality"
"R_0Gs5KrwpxaE2AQF",4,"RKB",7,"Knowledge","Rationality"
"R_3HHqwXpaYg7zjtc",4,"RKB",7,"Knowledge","Rationality"
"R_yWjT3ClYfKtwXHr",4,"RKB",6,"Knowledge","Rationality"
"R_8IWJsKE3wv6zjoZ",4,"RKB",5,"Knowledge","Rationality"
"R_xu9UP0GFBjQzi1P",5,"RKB",5,"Knowledge","Rationality"
"R_1IFTMKYY4Ar9h7X",5,"RKB",6,"Knowledge","Rationality"
"R_VUMO4bHPJAdMI01",5,"RKB",7,"Knowledge","Rationality"
"R_8psRIDySszQHWjT",5,"RKB",5,"Knowledge","Rationality"
"R_2CQattCDouu6rte",5,"RKB",5,"Knowledge","Rationality"
"R_D0215TIQ3dRBXNL",5,"RKB",3,"Knowledge","Rationality"
"R_8bT93YYUqf1B1Qt",5,"RKB",7,"Knowledge","Rationality"
"R_O2a0beWlpnkeBB7",5,"RKB",6,"Knowledge","Rationality"
"R_3hfQk0FdbI5ZquZ",5,"RKB",5,"Knowledge","Rationality"
"R_1Kp8ZVRR3w3y8ob",5,"RKB",7,"Knowledge","Rationality"
"R_8qVN23Q1GhwxtRv",5,"RKB",6,"Knowledge","Rationality"
"R_3qpzfYjYEBvysnh",5,"RKB",7,"Knowledge","Rationality"
"R_2fTlSKmHwWxCyvn",5,"RKB",2,"Knowledge","Rationality"
"R_1g1jxYRliuLSNIS",5,"RKB",4,"Knowledge","Rationality"
"R_dgtQrUW08Tx0Y8N",5,"RKB",5,"Knowledge","Rationality"
"R_1KvGzRty5iYhjlc",5,"RKB",5,"Knowledge","Rationality"
"R_3EMEIC7rpqFY83T",5,"RKB",7,"Knowledge","Rationality"
"R_2P6F8vn4Tutz9m2",5,"RKB",4,"Knowledge","Rationality"
"R_2WTOOT1lnF1XiXn",5,"RKB",7,"Knowledge","Rationality"
"R_1QuZ05DZ060dABH",5,"RKB",6,"Knowledge","Rationality"
"R_0Gs5KrwpxaE2AQF",5,"RKB",7,"Knowledge","Rationality"
"R_3HHqwXpaYg7zjtc",5,"RKB",4,"Knowledge","Rationality"
"R_1gNKGnEEzWH2iAi",5,"RKB",7,"Knowledge","Rationality"
"R_2e9CF7ZPfDFASCc",5,"RKB",6,"Knowledge","Rationality"
"R_2TtsbgTKwKK9wIO",6,"RKB",4,"Knowledge","Rationality"
"R_3k4IYszsTCRQrgC",6,"RKB",4,"Knowledge","Rationality"
"R_VUMO4bHPJAdMI01",6,"RKB",7,"Knowledge","Rationality"
"R_8psRIDySszQHWjT",6,"RKB",5,"Knowledge","Rationality"
"R_plWR8uAeqvRwogh",6,"RKB",7,"Knowledge","Rationality"
"R_12RQRhgLfJM83Iu",6,"RKB",3,"Knowledge","Rationality"
"R_2ZUFDDiW6GBTnqt",6,"RKB",4,"Knowledge","Rationality"
"R_bIu9gF3RB8CTtXr",6,"RKB",4,"Knowledge","Rationality"
"R_1BXFBu0qAEwfd17",6,"RKB",2,"Knowledge","Rationality"
"R_2PBUVaRRO8QOpsZ",6,"RKB",3,"Knowledge","Rationality"
"R_2S6pPEn187Q5NtY",6,"RKB",5,"Knowledge","Rationality"
"R_8uCazDnCWc04MaR",6,"RKB",2,"Knowledge","Rationality"
"R_1Kp8ZVRR3w3y8ob",6,"RKB",5,"Knowledge","Rationality"
"R_1g1jxYRliuLSNIS",6,"RKB",3,"Knowledge","Rationality"
"R_3oT6ZoaUWgal8UH",6,"RKB",5,"Knowledge","Rationality"
"R_dgtQrUW08Tx0Y8N",6,"RKB",3,"Knowledge","Rationality"
"R_qPGNLL5ULlYc0Ip",6,"RKB",2,"Knowledge","Rationality"
"R_2WTOOT1lnF1XiXn",6,"RKB",5,"Knowledge","Rationality"
"R_3FLmunkf2Hht6TF",6,"RKB",4,"Knowledge","Rationality"
"R_3KNNILeE3ut0kNj",6,"RKB",6,"Knowledge","Rationality"
"R_3dJNWXdZg0boBR6",6,"RKB",2,"Knowledge","Rationality"
"R_3lrWn7KbZc6TkYf",6,"RKB",4,"Knowledge","Rationality"
"R_yWjT3ClYfKtwXHr",6,"RKB",6,"Knowledge","Rationality"
"R_8IWJsKE3wv6zjoZ",6,"RKB",4,"Knowledge","Rationality"
"R_1DLUYGKswrdb9cm",7,"RKB",6,"Knowledge","Rationality"
"R_1rAhrV5EwBM1LyZ",7,"RKB",7,"Knowledge","Rationality"
"R_8psRIDySszQHWjT",7,"RKB",7,"Knowledge","Rationality"
"R_2CQattCDouu6rte",7,"RKB",4,"Knowledge","Rationality"
"R_6DK6aYAhyK428E1",7,"RKB",7,"Knowledge","Rationality"
"R_8bT93YYUqf1B1Qt",7,"RKB",7,"Knowledge","Rationality"
"R_3MzjhB4l2CnyceM",7,"RKB",4,"Knowledge","Rationality"
"R_2ZUFDDiW6GBTnqt",7,"RKB",7,"Knowledge","Rationality"
"R_2PBUVaRRO8QOpsZ",7,"RKB",2,"Knowledge","Rationality"
"R_1176tIngeKbNXez",7,"RKB",6,"Knowledge","Rationality"
"R_1IvgwTwNrQyaHTf",7,"RKB",4,"Knowledge","Rationality"
"R_1g1jxYRliuLSNIS",7,"RKB",4,"Knowledge","Rationality"
"R_3Ebvsl7XtlhzQWB",7,"RKB",7,"Knowledge","Rationality"
"R_3n00tAc7D3Xq0nG",7,"RKB",6,"Knowledge","Rationality"
"R_qPGNLL5ULlYc0Ip",7,"RKB",6,"Knowledge","Rationality"
"R_2P6F8vn4Tutz9m2",7,"RKB",5,"Knowledge","Rationality"
"R_2v1A4xHLmEQoT2o",7,"RKB",6,"Knowledge","Rationality"
"R_1QuZ05DZ060dABH",7,"RKB",4,"Knowledge","Rationality"
"R_1OuTe9tItsdnSCB",7,"RKB",7,"Knowledge","Rationality"
"R_b1rH03pHa9MJNJv",7,"RKB",6,"Knowledge","Rationality"
"R_3KPhsWLJtp13y0X",7,"RKB",5,"Knowledge","Rationality"
"R_yWjT3ClYfKtwXHr",7,"RKB",5,"Knowledge","Rationality"
"R_8IWJsKE3wv6zjoZ",7,"RKB",6,"Knowledge","Rationality"
"R_31TNc4a4YON2a7J",8,"RKB",4,"Knowledge","Rationality"
"R_1IFTMKYY4Ar9h7X",8,"RKB",6,"Knowledge","Rationality"
"R_1DLUYGKswrdb9cm",8,"RKB",1,"Knowledge","Rationality"
"R_2TtsbgTKwKK9wIO",8,"RKB",1,"Knowledge","Rationality"
"R_3G6V3MGevsXnxQw",8,"RKB",4,"Knowledge","Rationality"
"R_1PYrsTeyCWH15u3",8,"RKB",2,"Knowledge","Rationality"
"R_3L1Q56xXaXVyMIC",8,"RKB",2,"Knowledge","Rationality"
"R_2ZUn4Z9qs9SrQRR",8,"RKB",5,"Knowledge","Rationality"
"R_1IvgwTwNrQyaHTf",8,"RKB",4,"Knowledge","Rationality"
"R_8uCazDnCWc04MaR",8,"RKB",1,"Knowledge","Rationality"
"R_3j7l9N6xmB4kZGa",8,"RKB",5,"Knowledge","Rationality"
"R_vxBGd6vfvtHapsl",8,"RKB",4,"Knowledge","Rationality"
"R_VR82NyjxABFst9f",8,"RKB",1,"Knowledge","Rationality"
"R_1KvGzRty5iYhjlc",8,"RKB",5,"Knowledge","Rationality"
"R_3n00tAc7D3Xq0nG",8,"RKB",3,"Knowledge","Rationality"
"R_3gY1SdxVLpmfmir",8,"RKB",2,"Knowledge","Rationality"
"R_2uKtRMa60xPV9Qd",8,"RKB",1,"Knowledge","Rationality"
"R_2v1A4xHLmEQoT2o",8,"RKB",1,"Knowledge","Rationality"
"R_1QuZ05DZ060dABH",8,"RKB",3,"Knowledge","Rationality"
"R_2R568m5pF77Dyh0",8,"RKB",1,"Knowledge","Rationality"
"R_3HHqwXpaYg7zjtc",8,"RKB",5,"Knowledge","Rationality"
"R_3KPhsWLJtp13y0X",8,"RKB",4,"Knowledge","Rationality"
"R_cIR19O6YM6BpoWd",8,"RKB",2,"Knowledge","Rationality"
"R_2e9CF7ZPfDFASCc",8,"RKB",2,"Knowledge","Rationality"
"R_1DLUYGKswrdb9cm",9,"RKB",7,"Knowledge","Rationality"
"R_25H4qxjzbWJocXI",9,"RKB",5,"Knowledge","Rationality"
"R_8psRIDySszQHWjT",9,"RKB",5,"Knowledge","Rationality"
"R_plWR8uAeqvRwogh",9,"RKB",7,"Knowledge","Rationality"
"R_1ovWWgYf1uliRGE",9,"RKB",2,"Knowledge","Rationality"
"R_3qlY7YuOtTmlnqw",9,"RKB",3,"Knowledge","Rationality"
"R_3hfQk0FdbI5ZquZ",9,"RKB",1,"Knowledge","Rationality"
"R_3kFVIOx0vSMCknB",9,"RKB",7,"Knowledge","Rationality"
"R_1IvgwTwNrQyaHTf",9,"RKB",7,"Knowledge","Rationality"
"R_1PTyJyKQcEUiuuQ",9,"RKB",5,"Knowledge","Rationality"
"R_8qVN23Q1GhwxtRv",9,"RKB",5,"Knowledge","Rationality"
"R_3qpzfYjYEBvysnh",9,"RKB",6,"Knowledge","Rationality"
"R_vxBGd6vfvtHapsl",9,"RKB",7,"Knowledge","Rationality"
"R_3dGnkoBl0BCW4wr",9,"RKB",4,"Knowledge","Rationality"
"R_1g1jxYRliuLSNIS",9,"RKB",7,"Knowledge","Rationality"
"R_dgtQrUW08Tx0Y8N",9,"RKB",7,"Knowledge","Rationality"
"R_2rZ10M50CWZ1eoq",9,"RKB",3,"Knowledge","Rationality"
"R_3gY1SdxVLpmfmir",9,"RKB",6,"Knowledge","Rationality"
"R_2P6F8vn4Tutz9m2",9,"RKB",3,"Knowledge","Rationality"
"R_1QuZ05DZ060dABH",9,"RKB",5,"Knowledge","Rationality"
"R_3KNNILeE3ut0kNj",9,"RKB",7,"Knowledge","Rationality"
"R_0Gs5KrwpxaE2AQF",9,"RKB",4,"Knowledge","Rationality"
"R_yWjT3ClYfKtwXHr",9,"RKB",6,"Knowledge","Rationality"
"R_cIR19O6YM6BpoWd",9,"RKB",7,"Knowledge","Rationality"
"R_wOdSQUqwdK4bScp",9,"RKB",4,"Knowledge","Rationality"
"R_2TtsbgTKwKK9wIO",10,"RKB",6,"Knowledge","Rationality"
"R_25H4qxjzbWJocXI",10,"RKB",6,"Knowledge","Rationality"
"R_2CQattCDouu6rte",10,"RKB",5,"Knowledge","Rationality"
"R_12RQRhgLfJM83Iu",10,"RKB",2,"Knowledge","Rationality"
"R_3G6V3MGevsXnxQw",10,"RKB",6,"Knowledge","Rationality"
"R_1PYrsTeyCWH15u3",10,"RKB",6,"Knowledge","Rationality"
"R_O2a0beWlpnkeBB7",10,"RKB",7,"Knowledge","Rationality"
"R_3qlY7YuOtTmlnqw",10,"RKB",2,"Knowledge","Rationality"
"R_bIu9gF3RB8CTtXr",10,"RKB",6,"Knowledge","Rationality"
"R_1BXFBu0qAEwfd17",10,"RKB",3,"Knowledge","Rationality"
"R_siIbJwoMNFAmf9D",10,"RKB",7,"Knowledge","Rationality"
"R_1Kp8ZVRR3w3y8ob",10,"RKB",5,"Knowledge","Rationality"
"R_3pcjNaakc9DEkuH",10,"RKB",6,"Knowledge","Rationality"
"R_1jP2knP7Vljlk60",10,"RKB",4,"Knowledge","Rationality"
"R_3oT6ZoaUWgal8UH",10,"RKB",4,"Knowledge","Rationality"
"R_3Ebvsl7XtlhzQWB",10,"RKB",6,"Knowledge","Rationality"
"R_bmzXOsLePOIJIbf",10,"RKB",1,"Knowledge","Rationality"
"R_1KvGzRty5iYhjlc",10,"RKB",2,"Knowledge","Rationality"
"R_qPGNLL5ULlYc0Ip",10,"RKB",4,"Knowledge","Rationality"
"R_1cRJTBNGcC96v7X",10,"RKB",4,"Knowledge","Rationality"
"R_3FLmunkf2Hht6TF",10,"RKB",7,"Knowledge","Rationality"
"R_2R568m5pF77Dyh0",10,"RKB",7,"Knowledge","Rationality"
"R_3dJNWXdZg0boBR6",10,"RKB",6,"Knowledge","Rationality"
"R_3KPhsWLJtp13y0X",10,"RKB",5,"Knowledge","Rationality"
"R_8IWJsKE3wv6zjoZ",10,"RKB",7,"Knowledge","Rationality"
"R_1rAhrV5EwBM1LyZ",11,"RKB",4,"Knowledge","Rationality"
"R_3G6V3MGevsXnxQw",11,"RKB",7,"Knowledge","Rationality"
"R_1PYrsTeyCWH15u3",11,"RKB",6,"Knowledge","Rationality"
"R_O2a0beWlpnkeBB7",11,"RKB",7,"Knowledge","Rationality"
"R_3MzjhB4l2CnyceM",11,"RKB",4,"Knowledge","Rationality"
"R_3OkT4YxYDtONDSk",11,"RKB",6,"Knowledge","Rationality"
"R_2ZUFDDiW6GBTnqt",11,"RKB",6,"Knowledge","Rationality"
"R_3L1Q56xXaXVyMIC",11,"RKB",4,"Knowledge","Rationality"
"R_siIbJwoMNFAmf9D",11,"RKB",7,"Knowledge","Rationality"
"R_2uPS3EAvMPxKfXl",11,"RKB",5,"Knowledge","Rationality"
"R_1IvgwTwNrQyaHTf",11,"RKB",3,"Knowledge","Rationality"
"R_1PTyJyKQcEUiuuQ",11,"RKB",6,"Knowledge","Rationality"
"R_1Kp8ZVRR3w3y8ob",11,"RKB",6,"Knowledge","Rationality"
"R_VR82NyjxABFst9f",11,"RKB",5,"Knowledge","Rationality"
"R_UMy2B8bGVjw9O3D",11,"RKB",5,"Knowledge","Rationality"
"R_3n00tAc7D3Xq0nG",11,"RKB",5,"Knowledge","Rationality"
"R_3gY1SdxVLpmfmir",11,"RKB",4,"Knowledge","Rationality"
"R_2uKtRMa60xPV9Qd",11,"RKB",7,"Knowledge","Rationality"
"R_2v1A4xHLmEQoT2o",11,"RKB",4,"Knowledge","Rationality"
"R_1rOn0eiXQgg0Bto",11,"RKB",7,"Knowledge","Rationality"
"R_3fq0DzWogcDLEsV",11,"RKB",7,"Knowledge","Rationality"
"R_3KNNILeE3ut0kNj",11,"RKB",7,"Knowledge","Rationality"
"R_3dJNWXdZg0boBR6",11,"RKB",6,"Knowledge","Rationality"
"R_3lrWn7KbZc6TkYf",11,"RKB",5,"Knowledge","Rationality"
"R_cIR19O6YM6BpoWd",11,"RKB",7,"Knowledge","Rationality"
"R_wOdSQUqwdK4bScp",11,"RKB",3,"Knowledge","Rationality"
"R_31TNc4a4YON2a7J",12,"RKB",4,"Knowledge","Rationality"
"R_8psRIDySszQHWjT",12,"RKB",7,"Knowledge","Rationality"
"R_2CQattCDouu6rte",12,"RKB",5,"Knowledge","Rationality"
"R_12RQRhgLfJM83Iu",12,"RKB",5,"Knowledge","Rationality"
"R_1ovWWgYf1uliRGE",12,"RKB",7,"Knowledge","Rationality"
"R_O2a0beWlpnkeBB7",12,"RKB",6,"Knowledge","Rationality"
"R_3MzjhB4l2CnyceM",12,"RKB",6,"Knowledge","Rationality"
"R_bIu9gF3RB8CTtXr",12,"RKB",4,"Knowledge","Rationality"
"R_1BXFBu0qAEwfd17",12,"RKB",6,"Knowledge","Rationality"
"R_2ZUn4Z9qs9SrQRR",12,"RKB",5,"Knowledge","Rationality"
"R_1IvgwTwNrQyaHTf",12,"RKB",5,"Knowledge","Rationality"
"R_3qpzfYjYEBvysnh",12,"RKB",7,"Knowledge","Rationality"
"R_1F3wgkNCepYzGxO",12,"RKB",5,"Knowledge","Rationality"
"R_VR82NyjxABFst9f",12,"RKB",4,"Knowledge","Rationality"
"R_UMy2B8bGVjw9O3D",12,"RKB",4,"Knowledge","Rationality"
"R_3rSx4gMQuyykxRV",12,"RKB",4,"Knowledge","Rationality"
"R_1KvGzRty5iYhjlc",12,"RKB",6,"Knowledge","Rationality"
"R_qPGNLL5ULlYc0Ip",12,"RKB",3,"Knowledge","Rationality"
"R_2uKtRMa60xPV9Qd",12,"RKB",4,"Knowledge","Rationality"
"R_1rcce6YMkDl2Tqd",12,"RKB",6,"Knowledge","Rationality"
"R_3fq0DzWogcDLEsV",12,"RKB",6,"Knowledge","Rationality"
"R_u2m3EaePEvEE75f",12,"RKB",6,"Knowledge","Rationality"
"R_3dJNWXdZg0boBR6",12,"RKB",7,"Knowledge","Rationality"
"R_DNasEER9uGsFcfT",12,"RKB",4,"Knowledge","Rationality"
"R_1gNKGnEEzWH2iAi",12,"RKB",7,"Knowledge","Rationality"
"R_wOdSQUqwdK4bScp",12,"RKB",6,"Knowledge","Rationality"
"R_31TNc4a4YON2a7J",13,"RKB",4,"Knowledge","Rationality"
"R_1DLUYGKswrdb9cm",13,"RKB",6,"Knowledge","Rationality"
"R_1hG9owKKMQroBBf",13,"RKB",5,"Knowledge","Rationality"
"R_25H4qxjzbWJocXI",13,"RKB",7,"Knowledge","Rationality"
"R_2CQattCDouu6rte",13,"RKB",4,"Knowledge","Rationality"
"R_plWR8uAeqvRwogh",13,"RKB",7,"Knowledge","Rationality"
"R_3G6V3MGevsXnxQw",13,"RKB",5,"Knowledge","Rationality"
"R_1BXFBu0qAEwfd17",13,"RKB",4,"Knowledge","Rationality"
"R_3hfQk0FdbI5ZquZ",13,"RKB",6,"Knowledge","Rationality"
"R_2PBUVaRRO8QOpsZ",13,"RKB",2,"Knowledge","Rationality"
"R_3qpzfYjYEBvysnh",13,"RKB",6,"Knowledge","Rationality"
"R_3pcjNaakc9DEkuH",13,"RKB",6,"Knowledge","Rationality"
"R_1g1jxYRliuLSNIS",13,"RKB",4,"Knowledge","Rationality"
"R_1F3wgkNCepYzGxO",13,"RKB",4,"Knowledge","Rationality"
