"subj","condition","cause","vign","knowledge","norm"
"R_3EYd158W945bTmc","MIG",4,3,"Ignorance","Morality"
"R_8eMrBPghJOeO6m5","MIG",4,3,"Ignorance","Morality"
"R_vSJZic0BJrLuydP","MIG",6,3,"Ignorance","Morality"
"R_Bu2A2UkV2ZLtSsV","MIG",6,3,"Ignorance","Morality"
"R_x4xoV6nF3QCtxap","MIG",6,3,"Ignorance","Morality"
"R_2czmJrXebJSyBIv","MIG",7,3,"Ignorance","Morality"
"R_6MAnqfBGwnaqGvD","MIG",7,3,"Ignorance","Morality"
"R_2tmKa6wTy5rh9TE","MIG",6,3,"Ignorance","Morality"
"R_3NU8KCvDdcMI3m7","MIG",5,4,"Ignorance","Morality"
"R_QbL9cxzbCfI9C0h","MIG",7,4,"Ignorance","Morality"
"R_OwhlmYRlV9VQhqx","MIG",5,4,"Ignorance","Morality"
"R_2pY3RiXgh73oSk9","MIG",1,4,"Ignorance","Morality"
"R_9mcDXmedknnBbln","MIG",5,4,"Ignorance","Morality"
"R_3r3fFxo62III3Hu","MIG",4,4,"Ignorance","Morality"
"R_b87PB6XDAofdL21","MIG",6,4,"Ignorance","Morality"
"R_29gAP6TzTSJ4hH6","MIG",3,4,"Ignorance","Morality"
"R_3RvWpZ24vTDWZZ4","MIG",4,4,"Ignorance","Morality"
"R_3iwNEAiFGhmWf9X","MIG",4,4,"Ignorance","Morality"
"R_2Et1kMITcvLp297","MIG",5,4,"Ignorance","Morality"
"R_ePqTGsc0VfES1Wl","MIG",4,4,"Ignorance","Morality"
"R_3fGET7YdgHncG8j","MIG",4,4,"Ignorance","Morality"
"R_22ugpf0OLzkj8AR","MIG",5,4,"Ignorance","Morality"
"R_3lLAnX4ax8VJEet","MIG",4,4,"Ignorance","Morality"
"R_2qDxnWfJw3JCu9Y","MIG",6,4,"Ignorance","Morality"
"R_2WZGuhVuxbtSDr0","MIG",4,4,"Ignorance","Morality"
"R_Rnu08pOTKxysKuB","MIG",4,4,"Ignorance","Morality"
"R_sw0bNQoLwQRd4KB","MIG",4,4,"Ignorance","Morality"
"R_3gNkGEagZdDtbeI","MIG",5,4,"Ignorance","Morality"
"R_Bu2A2UkV2ZLtSsV","MIG",4,4,"Ignorance","Morality"
"R_2e4OotA3LjZQxoB","MIG",5,4,"Ignorance","Morality"
"R_71dWUcO7gNp0eJP","MIG",7,4,"Ignorance","Morality"
"R_2CCI8TwLfkxoF52","MIG",5,4,"Ignorance","Morality"
"R_2QlmY1N9RXjeWBU","MIG",5,4,"Ignorance","Morality"
"R_1IAVWfOlFBp3QXh","MIG",6,5,"Ignorance","Morality"
"R_3fDjTE7T5pN9aug","MIG",2,5,"Ignorance","Morality"
"R_2CkQ0ob8u9qQdbp","MIG",4,5,"Ignorance","Morality"
"R_2th4RMS27Vb5iWt","MIG",4,5,"Ignorance","Morality"
"R_3r3fFxo62III3Hu","MIG",6,5,"Ignorance","Morality"
"R_2uNzWsbV1lQoauO","MIG",6,5,"Ignorance","Morality"
"R_AaMoRGWEEUPFpF7","MIG",5,5,"Ignorance","Morality"
"R_29gAP6TzTSJ4hH6","MIG",7,5,"Ignorance","Morality"
"R_56dMysz9SKnkMLf","MIG",4,5,"Ignorance","Morality"
"R_3JwpiBeS7V3m1H3","MIG",6,5,"Ignorance","Morality"
"R_0AKdfAcBiQjGJ8Z","MIG",6,5,"Ignorance","Morality"
"R_1ohBPcgP7w17Nzi","MIG",5,5,"Ignorance","Morality"
"R_38WciBbZoqGPKGF","MIG",4,5,"Ignorance","Morality"
"R_1FlfNKqBrmZpcIx","MIG",5,5,"Ignorance","Morality"
"R_1JOqMd3qorCE5QJ","MIG",1,5,"Ignorance","Morality"
"R_2qDxnWfJw3JCu9Y","MIG",7,5,"Ignorance","Morality"
"R_XvoNHSUGZEwCyzL","MIG",6,5,"Ignorance","Morality"
"R_Rnu08pOTKxysKuB","MIG",5,5,"Ignorance","Morality"
"R_5AA7AMUGQMRGOqJ","MIG",2,5,"Ignorance","Morality"
"R_3gNkGEagZdDtbeI","MIG",3,5,"Ignorance","Morality"
"R_Bu2A2UkV2ZLtSsV","MIG",5,5,"Ignorance","Morality"
"R_22rUrA7fkcJMDbc","MIG",6,5,"Ignorance","Morality"
"R_71dWUcO7gNp0eJP","MIG",4,5,"Ignorance","Morality"
"R_3ET3S215m8fGkxn","MIG",4,5,"Ignorance","Morality"
"R_6MAnqfBGwnaqGvD","MIG",7,5,"Ignorance","Morality"
"R_wUlh2BECb90xNRf","MIG",5,5,"Ignorance","Morality"
"R_1IAVWfOlFBp3QXh","MIG",4,6,"Ignorance","Morality"
"R_1o1IAefWddFeCuL","MIG",5,6,"Ignorance","Morality"
"R_2CkQ0ob8u9qQdbp","MIG",5,6,"Ignorance","Morality"
"R_2th4RMS27Vb5iWt","MIG",3,6,"Ignorance","Morality"
"R_1g7V7XqzFSEpJp7","MIG",4,6,"Ignorance","Morality"
"R_AvT6fha3BdVp3X3","MIG",4,6,"Ignorance","Morality"
"R_bPkHhXaCo8ctVXX","MIG",2,6,"Ignorance","Morality"
"R_29gAP6TzTSJ4hH6","MIG",4,6,"Ignorance","Morality"
"R_3fituQFYKcsCOr2","MIG",4,6,"Ignorance","Morality"
"R_56dMysz9SKnkMLf","MIG",4,6,"Ignorance","Morality"
"R_2QEEJiKHLgUsppu","MIG",5,6,"Ignorance","Morality"
"R_3plRP7X6UFKeqEg","MIG",7,6,"Ignorance","Morality"
"R_3enqefdPNHBq6Oq","MIG",1,6,"Ignorance","Morality"
"R_38WciBbZoqGPKGF","MIG",2,6,"Ignorance","Morality"
"R_3lLAnX4ax8VJEet","MIG",3,6,"Ignorance","Morality"
"R_2qDxnWfJw3JCu9Y","MIG",2,6,"Ignorance","Morality"
"R_2vZerVrZAtgXYvE","MIG",2,6,"Ignorance","Morality"
"R_2WZGuhVuxbtSDr0","MIG",2,6,"Ignorance","Morality"
"R_sw0bNQoLwQRd4KB","MIG",5,6,"Ignorance","Morality"
"R_vBHaqEYiAqPtc4h","MIG",4,6,"Ignorance","Morality"
"R_3gNkGEagZdDtbeI","MIG",5,6,"Ignorance","Morality"
"R_2e4OotA3LjZQxoB","MIG",3,6,"Ignorance","Morality"
"R_3EKej2r7Msf8yBg","MIG",4,6,"Ignorance","Morality"
"R_6MAnqfBGwnaqGvD","MIG",2,6,"Ignorance","Morality"
"R_2tmKa6wTy5rh9TE","MIG",4,6,"Ignorance","Morality"
"R_wUlh2BECb90xNRf","MIG",6,6,"Ignorance","Morality"
"R_2XoGV7CT3IUHHOj","MIG",7,7,"Ignorance","Morality"
"R_3fPKamSv5XhWW7S","MIG",3,7,"Ignorance","Morality"
"R_OwhlmYRlV9VQhqx","MIG",4,7,"Ignorance","Morality"
"R_2pY3RiXgh73oSk9","MIG",4,7,"Ignorance","Morality"
"R_sh9wf7QQRKr8nRv","MIG",5,7,"Ignorance","Morality"
"R_1dtenbywNXsLq2q","MIG",7,7,"Ignorance","Morality"
"R_3iqXErxV0xnxTj0","MIG",3,7,"Ignorance","Morality"
"R_28O1YpzLLGbVGR2","MIG",4,7,"Ignorance","Morality"
"R_2ZZvCmIARcATxzO","MIG",5,7,"Ignorance","Morality"
"R_3RvWpZ24vTDWZZ4","MIG",4,7,"Ignorance","Morality"
"R_1ohBPcgP7w17Nzi","MIG",5,7,"Ignorance","Morality"
"R_2Et1kMITcvLp297","MIG",6,7,"Ignorance","Morality"
"R_3oN55R5Fwzb0Qgp","MIG",7,7,"Ignorance","Morality"
"R_22ugpf0OLzkj8AR","MIG",5,7,"Ignorance","Morality"
"R_1JOqMd3qorCE5QJ","MIG",6,7,"Ignorance","Morality"
"R_2qDxnWfJw3JCu9Y","MIG",7,7,"Ignorance","Morality"
"R_XvoNHSUGZEwCyzL","MIG",6,7,"Ignorance","Morality"
"R_Rnu08pOTKxysKuB","MIG",3,7,"Ignorance","Morality"
"R_2f7MQdI5iBtcB9w","MIG",5,7,"Ignorance","Morality"
"R_vBHaqEYiAqPtc4h","MIG",4,7,"Ignorance","Morality"
"R_Bu2A2UkV2ZLtSsV","MIG",2,7,"Ignorance","Morality"
"R_x4xoV6nF3QCtxap","MIG",6,7,"Ignorance","Morality"
"R_22rUrA7fkcJMDbc","MIG",6,7,"Ignorance","Morality"
"R_0IctgkJeDpDb6CZ","MIG",6,7,"Ignorance","Morality"
"R_2tmKa6wTy5rh9TE","MIG",6,7,"Ignorance","Morality"
"R_1IAVWfOlFBp3QXh","MIG",7,8,"Ignorance","Morality"
"R_3fDjTE7T5pN9aug","MIG",2,8,"Ignorance","Morality"
"R_2CkQ0ob8u9qQdbp","MIG",5,8,"Ignorance","Morality"
"R_brt25WJDSLmP4SR","MIG",7,8,"Ignorance","Morality"
"R_1dtenbywNXsLq2q","MIG",6,8,"Ignorance","Morality"
"R_1mVDg9lWRZcjmTf","MIG",6,8,"Ignorance","Morality"
"R_1Ns8HmDussRwtSo","MIG",5,8,"Ignorance","Morality"
"R_AaMoRGWEEUPFpF7","MIG",3,8,"Ignorance","Morality"
"R_3RvWpZ24vTDWZZ4","MIG",4,8,"Ignorance","Morality"
"R_sHbY8vn2k7SeOL7","MIG",5,8,"Ignorance","Morality"
"R_2Et1kMITcvLp297","MIG",6,8,"Ignorance","Morality"
"R_3plRP7X6UFKeqEg","MIG",5,8,"Ignorance","Morality"
"R_1FlfNKqBrmZpcIx","MIG",5,8,"Ignorance","Morality"
"R_1mypbqrm71pNcZZ","MIG",5,8,"Ignorance","Morality"
"R_1JOqMd3qorCE5QJ","MIG",1,8,"Ignorance","Morality"
"R_2qDxnWfJw3JCu9Y","MIG",6,8,"Ignorance","Morality"
"R_1DCF4Z6WagGl5Ma","MIG",5,8,"Ignorance","Morality"
"R_3EYd158W945bTmc","MIG",4,8,"Ignorance","Morality"
"R_sw0bNQoLwQRd4KB","MIG",4,8,"Ignorance","Morality"
"R_26f2NZAzbV11sGE","MIG",4,8,"Ignorance","Morality"
"R_1ogW3e83CTgq3SW","MIG",2,8,"Ignorance","Morality"
"R_2e4OotA3LjZQxoB","MIG",4,8,"Ignorance","Morality"
"R_2AHGXyli8BKF3Jz","MIG",6,8,"Ignorance","Morality"
"R_2tmKa6wTy5rh9TE","MIG",4,8,"Ignorance","Morality"
"R_2QlmY1N9RXjeWBU","MIG",6,8,"Ignorance","Morality"
"R_2XoGV7CT3IUHHOj","MIG",7,9,"Ignorance","Morality"
"R_3fDjTE7T5pN9aug","MIG",3,9,"Ignorance","Morality"
"R_OwhlmYRlV9VQhqx","MIG",6,9,"Ignorance","Morality"
"R_brt25WJDSLmP4SR","MIG",5,9,"Ignorance","Morality"
"R_sh9wf7QQRKr8nRv","MIG",3,9,"Ignorance","Morality"
"R_3r3fFxo62III3Hu","MIG",4,9,"Ignorance","Morality"
"R_bPkHhXaCo8ctVXX","MIG",7,9,"Ignorance","Morality"
"R_29gAP6TzTSJ4hH6","MIG",4,9,"Ignorance","Morality"
"R_3fituQFYKcsCOr2","MIG",5,9,"Ignorance","Morality"
"R_2QEEJiKHLgUsppu","MIG",6,9,"Ignorance","Morality"
"R_0AKdfAcBiQjGJ8Z","MIG",6,9,"Ignorance","Morality"
"R_3enqefdPNHBq6Oq","MIG",1,9,"Ignorance","Morality"
"R_3oN55R5Fwzb0Qgp","MIG",7,9,"Ignorance","Morality"
"R_1FxshkwMF8wnCjp","MIG",5,9,"Ignorance","Morality"
"R_3lLAnX4ax8VJEet","MIG",1,9,"Ignorance","Morality"
"R_2vZerVrZAtgXYvE","MIG",4,9,"Ignorance","Morality"
"R_XvoNHSUGZEwCyzL","MIG",6,9,"Ignorance","Morality"
"R_8eMrBPghJOeO6m5","MIG",6,9,"Ignorance","Morality"
"R_sw0bNQoLwQRd4KB","MIG",7,9,"Ignorance","Morality"
"R_2ZVQJVSUOKONpfP","MIG",5,9,"Ignorance","Morality"
"R_26f2NZAzbV11sGE","MIG",4,9,"Ignorance","Morality"
"R_22rUrA7fkcJMDbc","MIG",6,9,"Ignorance","Morality"
"R_2AHGXyli8BKF3Jz","MIG",6,9,"Ignorance","Morality"
"R_2CCI8TwLfkxoF52","MIG",5,9,"Ignorance","Morality"
"R_6MAnqfBGwnaqGvD","MIG",7,9,"Ignorance","Morality"
"R_1IAVWfOlFBp3QXh","MIG",2,10,"Ignorance","Morality"
"R_1o1IAefWddFeCuL","MIG",5,10,"Ignorance","Morality"
"R_2xV1miydNY7rKn4","MIG",6,10,"Ignorance","Morality"
"R_2th4RMS27Vb5iWt","MIG",3,10,"Ignorance","Morality"
"R_1mVDg9lWRZcjmTf","MIG",1,10,"Ignorance","Morality"
"R_3r3fFxo62III3Hu","MIG",3,10,"Ignorance","Morality"
"R_bPkHhXaCo8ctVXX","MIG",1,10,"Ignorance","Morality"
"R_b87PB6XDAofdL21","MIG",2,10,"Ignorance","Morality"
"R_2ZZvCmIARcATxzO","MIG",2,10,"Ignorance","Morality"
"R_sHbY8vn2k7SeOL7","MIG",1,10,"Ignorance","Morality"
"R_3fKif9mVEDe7Opz","MIG",3,10,"Ignorance","Morality"
"R_1ohBPcgP7w17Nzi","MIG",3,10,"Ignorance","Morality"
"R_1mypbqrm71pNcZZ","MIG",3,10,"Ignorance","Morality"
"R_22ugpf0OLzkj8AR","MIG",3,10,"Ignorance","Morality"
"R_6iosnhmKDSvIj5L","MIG",4,10,"Ignorance","Morality"
"R_r8XQl9jmC7ynhJf","MIG",4,10,"Ignorance","Morality"
"R_cP8QojZwsgjAHDj","MIG",4,10,"Ignorance","Morality"
"R_3EYd158W945bTmc","MIG",4,10,"Ignorance","Morality"
"R_2f7MQdI5iBtcB9w","MIG",4,10,"Ignorance","Morality"
"R_vBHaqEYiAqPtc4h","MIG",5,10,"Ignorance","Morality"
"R_3gNkGEagZdDtbeI","MIG",3,10,"Ignorance","Morality"
"R_245wkgfvsrZ71pq","MIG",2,10,"Ignorance","Morality"
"R_2czmJrXebJSyBIv","MIG",1,10,"Ignorance","Morality"
"R_2CCI8TwLfkxoF52","MIG",6,10,"Ignorance","Morality"
"R_3hlsIzcwHbfktDc","MIG",1,10,"Ignorance","Morality"
"R_3NU8KCvDdcMI3m7","MIG",5,11,"Ignorance","Morality"
"R_3fDjTE7T5pN9aug","MIG",2,11,"Ignorance","Morality"
"R_2CkQ0ob8u9qQdbp","MIG",4,11,"Ignorance","Morality"
"R_9mcDXmedknnBbln","MIG",6,11,"Ignorance","Morality"
"R_1dtenbywNXsLq2q","MIG",7,11,"Ignorance","Morality"
"R_3iqXErxV0xnxTj0","MIG",5,11,"Ignorance","Morality"
"R_AaMoRGWEEUPFpF7","MIG",4,11,"Ignorance","Morality"
"R_29gAP6TzTSJ4hH6","MIG",4,11,"Ignorance","Morality"
"R_3iwNEAiFGhmWf9X","MIG",1,11,"Ignorance","Morality"
"R_3JwpiBeS7V3m1H3","MIG",4,11,"Ignorance","Morality"
"R_2Et1kMITcvLp297","MIG",6,11,"Ignorance","Morality"
"R_3enqefdPNHBq6Oq","MIG",7,11,"Ignorance","Morality"
"R_3NWm5WAJH4uINEU","MIG",5,11,"Ignorance","Morality"
"R_22ugpf0OLzkj8AR","MIG",5,11,"Ignorance","Morality"
"R_6iosnhmKDSvIj5L","MIG",6,11,"Ignorance","Morality"
"R_2vZerVrZAtgXYvE","MIG",7,11,"Ignorance","Morality"
"R_2WZGuhVuxbtSDr0","MIG",3,11,"Ignorance","Morality"
"R_3EYd158W945bTmc","MIG",4,11,"Ignorance","Morality"
"R_5AA7AMUGQMRGOqJ","MIG",1,11,"Ignorance","Morality"
"R_vBHaqEYiAqPtc4h","MIG",5,11,"Ignorance","Morality"
"R_26f2NZAzbV11sGE","MIG",5,11,"Ignorance","Morality"
"R_2e4OotA3LjZQxoB","MIG",5,11,"Ignorance","Morality"
"R_2AHGXyli8BKF3Jz","MIG",6,11,"Ignorance","Morality"
"R_2CCI8TwLfkxoF52","MIG",6,11,"Ignorance","Morality"
"R_2QlmY1N9RXjeWBU","MIG",6,11,"Ignorance","Morality"
"R_3NU8KCvDdcMI3m7","MIG",5,12,"Ignorance","Morality"
"R_3fDjTE7T5pN9aug","MIG",5,12,"Ignorance","Morality"
"R_OwhlmYRlV9VQhqx","MIG",5,12,"Ignorance","Morality"
"R_2th4RMS27Vb5iWt","MIG",6,12,"Ignorance","Morality"
"R_OKk63kVutbY3HRT","MIG",7,12,"Ignorance","Morality"
"R_1mVDg9lWRZcjmTf","MIG",5,12,"Ignorance","Morality"
"R_bPkHhXaCo8ctVXX","MIG",5,12,"Ignorance","Morality"
"R_AaMoRGWEEUPFpF7","MIG",3,12,"Ignorance","Morality"
"R_3RvWpZ24vTDWZZ4","MIG",3,12,"Ignorance","Morality"
"R_3iwNEAiFGhmWf9X","MIG",1,12,"Ignorance","Morality"
"R_ezYd6g0DGP96G6B","MIG",5,12,"Ignorance","Morality"
"R_ePqTGsc0VfES1Wl","MIG",5,12,"Ignorance","Morality"
"R_38WciBbZoqGPKGF","MIG",2,12,"Ignorance","Morality"
"R_1FxshkwMF8wnCjp","MIG",6,12,"Ignorance","Morality"
"R_w5daplb7MxERGKZ","MIG",4,12,"Ignorance","Morality"
"R_3JCd7tTqGGvJlTr","MIG",7,12,"Ignorance","Morality"
"R_cP8QojZwsgjAHDj","MIG",6,12,"Ignorance","Morality"
"R_6M4JUtg6wJN7Ba9","MIG",4,12,"Ignorance","Morality"
"R_2f7MQdI5iBtcB9w","MIG",5,12,"Ignorance","Morality"
"R_2ZVQJVSUOKONpfP","MIG",5,12,"Ignorance","Morality"
"R_1ogW3e83CTgq3SW","MIG",6,12,"Ignorance","Morality"
"R_x4xoV6nF3QCtxap","MIG",5,12,"Ignorance","Morality"
"R_22rUrA7fkcJMDbc","MIG",2,12,"Ignorance","Morality"
"R_0IctgkJeDpDb6CZ","MIG",6,12,"Ignorance","Morality"
"R_1LoqMhkJsj2GnTs","MIG",5,12,"Ignorance","Morality"
"R_wUlh2BECb90xNRf","MIG",4,12,"Ignorance","Morality"
"R_1IAVWfOlFBp3QXh","MIG",2,13,"Ignorance","Morality"
"R_3fDjTE7T5pN9aug","MIG",2,13,"Ignorance","Morality"
"R_CfVltpcPPyEnl0B","MIG",5,13,"Ignorance","Morality"
"R_brt25WJDSLmP4SR","MIG",7,13,"Ignorance","Morality"
"R_1dtenbywNXsLq2q","MIG",7,13,"Ignorance","Morality"
"R_1mVDg9lWRZcjmTf","MIG",6,13,"Ignorance","Morality"
"R_2uNzWsbV1lQoauO","MIG",7,13,"Ignorance","Morality"
"R_28O1YpzLLGbVGR2","MIG",4,13,"Ignorance","Morality"
"R_2ZZvCmIARcATxzO","MIG",5,13,"Ignorance","Morality"
"R_3fituQFYKcsCOr2","MIG",6,13,"Ignorance","Morality"
"R_1ohBPcgP7w17Nzi","MIG",5,13,"Ignorance","Morality"
"R_2Et1kMITcvLp297","MIG",6,13,"Ignorance","Morality"
"R_3NWm5WAJH4uINEU","MIG",7,13,"Ignorance","Morality"
"R_1FlfNKqBrmZpcIx","MIG",3,13,"Ignorance","Morality"
"R_6iosnhmKDSvIj5L","MIG",6,13,"Ignorance","Morality"
"R_2qDxnWfJw3JCu9Y","MIG",6,13,"Ignorance","Morality"
"R_2vZerVrZAtgXYvE","MIG",6,13,"Ignorance","Morality"
"R_2WZGuhVuxbtSDr0","MIG",6,13,"Ignorance","Morality"
"R_6M4JUtg6wJN7Ba9","MIG",6,13,"Ignorance","Morality"
"R_2ZVQJVSUOKONpfP","MIG",5,13,"Ignorance","Morality"
"R_1ogW3e83CTgq3SW","MIG",4,13,"Ignorance","Morality"
"R_x4xoV6nF3QCtxap","MIG",6,13,"Ignorance","Morality"
"R_245wkgfvsrZ71pq","MIG",7,13,"Ignorance","Morality"
"R_3ET3S215m8fGkxn","MIG",5,13,"Ignorance","Morality"
"R_6MAnqfBGwnaqGvD","MIG",6,13,"Ignorance","Morality"
"R_1IAVWfOlFBp3QXh","MIG",4,14,"Ignorance","Morality"
"R_3fDjTE7T5pN9aug","MIG",3,14,"Ignorance","Morality"
"R_2xV1miydNY7rKn4","MIG",3,14,"Ignorance","Morality"
"R_brt25WJDSLmP4SR","MIG",3,14,"Ignorance","Morality"
"R_9mcDXmedknnBbln","MIG",5,14,"Ignorance","Morality"
"R_1dtenbywNXsLq2q","MIG",7,14,"Ignorance","Morality"
"R_1Ns8HmDussRwtSo","MIG",7,14,"Ignorance","Morality"
"R_28O1YpzLLGbVGR2","MIG",7,14,"Ignorance","Morality"
"R_3RvWpZ24vTDWZZ4","MIG",6,14,"Ignorance","Morality"
"R_2QEEJiKHLgUsppu","MIG",3,14,"Ignorance","Morality"
"R_1ohBPcgP7w17Nzi","MIG",5,14,"Ignorance","Morality"
"R_ePqTGsc0VfES1Wl","MIG",5,14,"Ignorance","Morality"
"R_3oN55R5Fwzb0Qgp","MIG",7,14,"Ignorance","Morality"
"R_22ugpf0OLzkj8AR","MIG",3,14,"Ignorance","Morality"
"R_3lLAnX4ax8VJEet","MIG",5,14,"Ignorance","Morality"
"R_2qDxnWfJw3JCu9Y","MIG",6,14,"Ignorance","Morality"
"R_2WZGuhVuxbtSDr0","MIG",7,14,"Ignorance","Morality"
"R_8eMrBPghJOeO6m5","MIG",5,14,"Ignorance","Morality"
"R_6M4JUtg6wJN7Ba9","MIG",3,14,"Ignorance","Morality"
"R_26f2NZAzbV11sGE","MIG",5,14,"Ignorance","Morality"
"R_3gNkGEagZdDtbeI","MIG",6,14,"Ignorance","Morality"
"R_2e4OotA3LjZQxoB","MIG",5,14,"Ignorance","Morality"
"R_245wkgfvsrZ71pq","MIG",6,14,"Ignorance","Morality"
"R_3ET3S215m8fGkxn","MIG",4,14,"Ignorance","Morality"
"R_2tmKa6wTy5rh9TE","MIG",4,14,"Ignorance","Morality"
"R_wUlh2BECb90xNRf","MIG",4,14,"Ignorance","Morality"
"R_3J4XYKn5XSdemXn","MIG",5,16,"Ignorance","Morality"
"R_QbL9cxzbCfI9C0h","MIG",6,16,"Ignorance","Morality"
"R_2CkQ0ob8u9qQdbp","MIG",3,16,"Ignorance","Morality"
"R_2th4RMS27Vb5iWt","MIG",3,16,"Ignorance","Morality"
"R_OKk63kVutbY3HRT","MIG",3,16,"Ignorance","Morality"
"R_3iqXErxV0xnxTj0","MIG",3,16,"Ignorance","Morality"
"R_bPkHhXaCo8ctVXX","MIG",2,16,"Ignorance","Morality"
"R_3qybpbdBZeK6VUq","MIG",6,16,"Ignorance","Morality"
"R_56dMysz9SKnkMLf","MIG",1,16,"Ignorance","Morality"
"R_2QEEJiKHLgUsppu","MIG",3,16,"Ignorance","Morality"
"R_2Et1kMITcvLp297","MIG",5,16,"Ignorance","Morality"
"R_3plRP7X6UFKeqEg","MIG",4,16,"Ignorance","Morality"
"R_3NWm5WAJH4uINEU","MIG",6,16,"Ignorance","Morality"
"R_1FxshkwMF8wnCjp","MIG",5,16,"Ignorance","Morality"
"R_3lLAnX4ax8VJEet","MIG",1,16,"Ignorance","Morality"
"R_3JCd7tTqGGvJlTr","MIG",3,16,"Ignorance","Morality"
"R_cP8QojZwsgjAHDj","MIG",3,16,"Ignorance","Morality"
"R_8eMrBPghJOeO6m5","MIG",5,16,"Ignorance","Morality"
"R_sw0bNQoLwQRd4KB","MIG",7,16,"Ignorance","Morality"
"R_vSJZic0BJrLuydP","MIG",4,16,"Ignorance","Morality"
"R_Bu2A2UkV2ZLtSsV","MIG",1,16,"Ignorance","Morality"
"R_x4xoV6nF3QCtxap","MIG",3,16,"Ignorance","Morality"
"R_71dWUcO7gNp0eJP","MIG",4,16,"Ignorance","Morality"
"R_1LoqMhkJsj2GnTs","MIG",5,16,"Ignorance","Morality"
"R_2tmKa6wTy5rh9TE","MIG",4,16,"Ignorance","Morality"
